,time,metric_name,metric_value,date,year
320338,2018-01-18 00:00:00-05:00,google.meet:num_calls_jamboard,0,2018-01-18,2018
320339,2018-01-18 00:00:00-05:00,google.meet:num_calls_unknown_client,0,2018-01-18,2018
320340,2018-01-18 00:00:00-05:00,google.meet:num_calls_web,0,2018-01-18,2018
320341,2018-01-18 00:00:00-05:00,google.meet:num_meetings,0,2018-01-18,2018
320342,2018-01-18 00:00:00-05:00,google.meet:num_meetings_android,0,2018-01-18,2018
320343,2018-01-18 00:00:00-05:00,google.meet:num_meetings_chromebase,0,2018-01-18,2018
320344,2018-01-18 00:00:00-05:00,google.meet:num_meetings_chromebox,0,2018-01-18,2018
320345,2018-01-18 00:00:00-05:00,google.meet:num_meetings_ios,0,2018-01-18,2018
320346,2018-01-18 00:00:00-05:00,google.meet:num_meetings_jamboard,0,2018-01-18,2018
320347,2018-01-18 00:00:00-05:00,google.meet:num_meetings_unknown_client,0,2018-01-18,2018
320348,2018-01-18 00:00:00-05:00,google.meet:num_meetings_web,0,2018-01-18,2018
320349,2018-01-18 00:00:00-05:00,google.meet:num_meetings_with_11_to_15_calls,0,2018-01-18,2018
320350,2018-01-18 00:00:00-05:00,google.meet:num_meetings_with_16_to_25_calls,0,2018-01-18,2018
320351,2018-01-18 00:00:00-05:00,google.meet:num_meetings_with_26_to_50_calls,0,2018-01-18,2018
320352,2018-01-18 00:00:00-05:00,google.meet:num_meetings_with_2_calls,0,2018-01-18,2018
320353,2018-01-18 00:00:00-05:00,google.meet:num_meetings_with_3_to_5_calls,0,2018-01-18,2018
320354,2018-01-18 00:00:00-05:00,google.meet:num_meetings_with_6_to_10_calls,0,2018-01-18,2018
320355,2018-01-18 00:00:00-05:00,google.meet:num_meetings_with_external_users,0,2018-01-18,2018
320356,2018-01-18 00:00:00-05:00,google.meet:num_meetings_with_pstn_in_users,0,2018-01-18,2018
320357,2018-01-18 00:00:00-05:00,google.meet:total_call_minutes,0,2018-01-18,2018
320358,2018-01-18 00:00:00-05:00,google.meet:total_call_minutes_android,0,2018-01-18,2018
320359,2018-01-18 00:00:00-05:00,google.meet:total_call_minutes_by_external_users,0,2018-01-18,2018
